,year,tech_name,tech_cost,integ_factor,integ_factor_ini,TRL,Rexp,Mexp,Oexp,tech_cost_min,accident_ratio,accident_ratio_base,accident_ratio_ini
0,2022,Berth,34000,1.2,1.2,4,4500000,0.0,0.0,34000,96.0,96.0,96
1,2022,Navi,34000,1.2,1.2,5,4500000,0.0,0.0,34000,78.0,78.0,78
2,2022,Moni,136000,1.2,1.2,7,4500000,0.0,0.0,136000,32.0,32.0,32
0,2023,Berth,34000,1.2,1.2,4,9000000,0.0,0.0,34000,96.0,96.0,96
1,2023,Navi,34000,1.2,1.2,5,9000000,0.0,0.0,34000,78.0,78.0,78
2,2023,Moni,136000,1.2,1.2,7,9000000,0.0,0.0,136000,32.0,32.0,32
0,2024,Berth,34000,1.2,1.2,4,13500000,0.0,0.0,34000,96.0,96.0,96
1,2024,Navi,34000,1.2,1.2,5,13500000,0.0,0.0,34000,78.0,78.0,78
2,2024,Moni,136000,1.2,1.2,7,13500000,0.0,0.0,136000,32.0,32.0,32
0,2025,Berth,34000,1.2,1.2,4,18000000,0.0,0.0,34000,96.0,96.0,96
1,2025,Navi,34000,1.2,1.2,5,18000000,0.0,0.0,34000,78.0,78.0,78
2,2025,Moni,136000,1.2,1.2,7,18000000,0.0,0.0,136000,32.0,32.0,32
0,2026,Berth,34000,1.2,1.2,5,2500000,0.0,0.0,34000,96.0,96.0,96
1,2026,Navi,34000,1.2,1.2,6,2500000,0.0,0.0,34000,78.0,78.0,78
2,2026,Moni,136000,1.2,1.2,8,2500000,0.0,0.0,136000,31.55,31.55,32
0,2027,Berth,34000,1.2,1.2,5,7000000,0.0,0.0,34000,96.0,96.0,96
1,2027,Navi,34000,1.1275744408847836,1.2,6,7000000,25.0,25.0,34000,61.09020768657851,78.0,78
2,2027,Moni,136000,1.1162479522469222,1.2,8,7000000,50.0,50.0,136000,23.4926279230675,31.55,32
0,2028,Berth,34000,1.2,1.2,5,11500000,0.0,0.0,34000,96.0,96.0,96
1,2028,Navi,34000,1.1162479522469222,1.2,6,11500000,50.0,75.0,34000,56.36812426729562,78.0,78
2,2028,Moni,136000,1.1057873275906052,1.2,8,11500000,100.0,150.0,136000,21.65589277954924,31.55,32
0,2029,Berth,34000,1.2,1.2,5,16000000,0.0,0.0,34000,96.0,96.0,96
1,2029,Navi,34000,1.1100215400862752,1.2,6,16000000,75.0,150.0,34000,53.53913270379844,78.0,78
