,year,tech_name,tech_cost,integ_factor,integ_factor_ini,TRL,Rexp,Mexp,Oexp,tech_cost_min,accident_ratio,accident_ratio_base,accident_ratio_ini
2,2029,Moni,136000,1.100076285390463,1.2,8,16000000,150.0,300.0,136000,20.56396596532905,31.55,32
0,2030,Berth,34000,1.2,1.2,5,20500000,0.0,0.0,34000,96.0,96.0,96
1,2030,Navi,34000,1.1057873275906052,1.2,6,20500000,100.0,250.0,34000,51.536992781846294,78.0,78
2,2030,Moni,136000,1.0962030718655227,1.2,8,20500000,200.0,500.0,136000,19.792995874491194,31.55,32
0,2031,Berth,34000,1.2,1.2,6,5000000,0.0,0.0,34000,96.0,96.0,96
1,2031,Navi,34000,1.102607441914782,1.2,7,5000000,125.0,375.0,34000,49.85410584606502,77.775,78
2,2031,Moni,136000,1.0932985774745663,1.2,9,5000000,250.0,750.0,136000,18.927244562004883,31.1,32
0,2032,Berth,34000,1.2,1.2,6,9500000,0.0,0.0,34000,96.0,96.0,96
1,2032,Navi,34000,1.100076285390463,1.2,7,9500000,150.0,525.0,34000,48.61452972831723,77.775,78
2,2032,Moni,136000,1.0909887752504588,1.2,9,9500000,300.0,1050.0,136000,18.456110653242146,31.1,32
0,2033,Berth,34000,1.2,1.2,6,14000000,0.0,0.0,34000,96.0,96.0,96
1,2033,Navi,34000,1.0979826649964517,1.2,7,14000000,175.0,700.0,34000,47.57854628103031,77.775,78
2,2033,Moni,136000,1.0890794677771471,1.2,9,14000000,350.0,1400.0,136000,18.06248622440955,31.1,32
0,2034,Berth,34000,1.2,1.2,6,18500000,0.0,0.0,34000,96.0,96.0,96
1,2034,Navi,34000,1.0961700935919467,1.2,7,18500000,200.5,900.5,34000,46.68932442872306,77.775,78
2,2034,Moni,136000,1.0874272464465113,1.2,9,18500000,401.0,1801.0,136000,17.724695379072696,31.1,32
0,2035,Berth,34000,1.2,1.2,7,3000000,0.0,0.0,34000,95.775,95.775,96
1,2035,Navi,34000,1.0946015881654882,1.2,8,3000000,226.0,1126.5,34000,45.779712490822725,77.55,78
2,2035,Moni,136000,1.0859980183229287,1.2,9,23000000,452.0,2253.0,136000,17.42965719986183,31.1,32
0,2036,Berth,34000,1.2,1.2,7,7500000,0.0,0.0,34000,95.775,95.775,96
1,2036,Navi,34000,1.091992371290798,1.2,8,7500000,277.0,1403.5,34000,45.03163042254161,77.55,78
2,2036,Moni,136000,1.0847411945336076,1.2,9,27500000,503.0,2756.0,136000,17.16831336126581,31.1,32
0,2037,Berth,34000,1.2,1.2,7,12000000,0.0,0.0,34000,95.775,95.775,96
1,2037,Navi,34000,1.0898787371611924,1.2,8,12000000,328.0,1731.5,34000,44.32832373865943,77.55,78
2,2037,Moni,136000,1.08362142497409,1.2,9,32000000,554.0,3310.0,136000,16.934151875784234,31.1,32
0,2038,Berth,34000,1.2,1.2,7,16500000,0.0,0.0,34000,95.775,95.775,96
1,2038,Navi,34000,1.0881089162355126,1.2,8,16500000,379.0,2110.5,34000,43.67545828524408,77.55,78
2,2038,Moni,136000,1.0826130723144425,1.2,9,36500000,605.0,3915.0,136000,16.722345332656946,31.1,32
0,2039,Berth,34000,1.2,1.2,7,21000000,0.0,0.0,34000,95.775,95.775,96
1,2039,Navi,34000,1.08659087583232,1.2,9,1000000,430.0,2540.5,34000,42.82255930546769,77.1,78
2,2039,Moni,136000,1.0816969747157326,1.2,9,41000000,656.0,4571.0,136000,16.529222372436486,31.1,32
0,2040,Berth,34000,1.2,1.2,8,5500000,0.0,0.0,34000,95.55,95.55,96
1,2040,Navi,34000,1.085264746340769,1.2,9,5500000,481.0,3021.5,34000,42.26947996823536,77.1,78
2,2040,Moni,136000,1.0808584489103001,1.2,9,45500000,707.0,5278.0,136000,16.351929814130948,31.1,32
0,2041,Berth,34000,1.1159368600942468,1.2,8,10000000,51.0,51.0,34000,71.04449648474308,95.55,96
1,2041,Navi,34000,1.0840894749578351,1.2,9,10000000,532.0,3553.5,34000,41.75860568160751,77.1,78
2,2041,Moni,136000,1.0800860051248868,1.2,9,50000000,758.0,6036.0,136000,16.18820892791486,31.1,32
0,2042,Berth,34000,1.1055014573085968,1.2,8,14500000,102.0,153.0,34000,65.48874039548272,95.55,96
1,2042,Navi,34000,1.0830357328086166,1.2,9,14500000,583.0,4136.5,34000,41.285640592256684,77.1,78
2,2042,Moni,136000,1.0793704902912182,1.2,9,54500000,809.0,6845.0,136000,16.036242754375124,31.1,32
0,2043,Berth,34000,1.0998049625883133,1.2,8,19000000,153.0,306.0,34000,62.18638528029954,95.55,96
1,2043,Navi,34000,1.0820818661328633,1.2,9,19000000,634.0,4770.5,34000,40.846538488009415,77.1,78
2,2043,Moni,136000,1.0787044993693367,1.2,9,59000000,860.0,7705.0,136000,15.894549151609015,31.1,32
0,2044,Berth,34000,1.0958774156554807,1.2,9,3500000,205.0,511.0,34000,59.56419405657728,95.1,96
1,2044,Navi,34000,1.0811951270949822,1.2,9,23500000,686.0,5456.5,34000,40.43708558553622,77.1,78
2,2044,Moni,136000,1.0780701526187029,1.2,9,63500000,912.0,8617.0,136000,15.761766966708459,31.1,32
0,2045,Berth,34000,1.092945095126444,1.2,9,8000000,257.0,768.0,34000,57.77447948876485,95.1,96
1,2045,Navi,34000,1.0803816771008719,1.2,9,28000000,738.0,6194.5,34000,40.054254315942366,77.1,78
2,2045,Moni,136000,1.0774756496220332,1.2,9,68000000,964.0,9581.0,136000,15.63691864114436,31.1,32
0,2046,Berth,34000,1.0906195877032197,1.2,9,12500000,309.0,1077.0,34000,56.32926829408111,95.1,96
1,2046,Navi,34000,1.0796309030671916,1.2,9,32500000,790.0,6984.5,34000,39.69534362365303,77.1,78
2,2046,Moni,136000,1.0769165336915933,1.2,9,72500000,1016.0,10597.0,136000,15.519173748076778,31.1,32
0,2047,Berth,34000,1.0887009380962092,1.2,9,17000000,361.0,1438.0,34000,55.122125734384944,95.1,96
1,2047,Navi,34000,1.0789343051666769,1.2,9,37000000,842.0,7826.5,34000,39.35796610074658,77.1,78
2,2047,Moni,136000,1.076389043547676,1.2,9,77000000,1068.0,11665.0,136000,15.40782159304739,31.1,32
0,2048,Berth,34000,1.08707308836843,1.2,9,21500000,413.0,1851.0,34000,54.08881206291022,95.1,96
1,2048,Navi,34000,1.0782849749223922,1.2,9,41500000,894.0,8720.5,34000,39.04002069081617,77.1,78
2,2048,Moni,136000,1.0758899769862287,1.2,9,81500000,1120.0,12785.0,136000,15.30224977315727,31.1,32
0,2049,Berth,34000,1.085412264480242,1.2,9,26000000,475.0,2326.0,34000,53.17050537194915,95.1,96
1,2049,Navi,34000,1.0775647055646902,1.2,9,46000000,956.0,9676.5,34000,38.73665713042588,77.1,78
2,2049,Moni,136000,1.075328288633435,1.2,9,86000000,1182.0,13967.0,136000,15.201110711830088,31.1,32
0,2050,Berth,34000,1.0839811933634107,1.2,9,30500000,537.0,2863.0,34000,52.34889765822176,95.1,96
1,2050,Navi,34000,1.076895682913019,1.2,9,50500000,1018.0,10694.5,34000,38.4471627551652,77.1,78
2,2050,Moni,136000,1.074799143540383,1.2,9,90500000,1244.0,15211.0,136000,15.10415435767898,31.1,32
