,year,config0,config1,config2,config3,config4,config5,config6,config7,config8,config9,config10,config11
0,1997,40,0,0,0,0,0,0,0,0,0,0,0
1,1998,40,0,0,0,0,0,0,0,0,0,0,0
2,1999,40,0,0,0,0,0,0,0,0,0,0,0
3,2000,40,0,0,0,0,0,0,0,0,0,0,0
4,2001,40,0,0,0,0,0,0,0,0,0,0,0
5,2002,40,0,0,0,0,0,0,0,0,0,0,0
6,2003,40,0,0,0,0,0,0,0,0,0,0,0
7,2004,40,0,0,0,0,0,0,0,0,0,0,0
8,2005,40,0,0,0,0,0,0,0,0,0,0,0
9,2006,40,0,0,0,0,0,0,0,0,0,0,0
10,2007,40,0,0,0,0,0,0,0,0,0,0,0
11,2008,40,0,0,0,0,0,0,0,0,0,0,0
12,2009,40,0,0,0,0,0,0,0,0,0,0,0
13,2010,40,0,0,0,0,0,0,0,0,0,0,0
14,2011,40,0,0,0,0,0,0,0,0,0,0,0
15,2012,40,0,0,0,0,0,0,0,0,0,0,0
16,2013,40,0,0,0,0,0,0,0,0,0,0,0
17,2014,40,0,0,0,0,0,0,0,0,0,0,0
18,2015,40,0,0,0,0,0,0,0,0,0,0,0
19,2016,40,0,0,0,0,0,0,0,0,0,0,0
20,2017,40,0,0,0,0,0,0,0,0,0,0,0
21,2018,40,0,0,0,0,0,0,0,0,0,0,0
22,2019,40,0,0,0,0,0,0,0,0,0,0,0
23,2020,40,0,0,0,0,0,0,0,0,0,0,0
24,2021,40,0,0,0,0,0,0,0,0,0,0,0
25,2022,0,0,0,0,40,0,0,0,0,0,0,0
26,2023,0,0,0,0,50,0,0,0,0,0,0,0
27,2024,0,0,0,0,50,0,0,0,0,0,0,0
28,2025,0,0,0,0,50,0,0,0,0,0,0,0
29,2026,0,0,0,0,0,0,0,0,50,0,0,0
30,2027,0,0,0,0,0,0,0,0,50,0,0,0
31,2028,0,0,0,0,0,0,0,0,50,0,0,0
32,2029,0,0,0,0,0,0,0,0,50,0,0,0
33,2030,0,0,0,0,0,0,0,0,50,0,0,0
34,2031,0,0,0,0,0,0,0,0,0,50,0,0
35,2032,0,0,0,0,0,0,0,0,0,50,0,0
36,2033,0,0,0,0,0,0,0,0,0,51,0,0
37,2034,0,0,0,0,0,0,0,0,0,51,0,0
38,2035,0,0,0,0,0,0,0,0,0,0,0,51
39,2036,0,0,0,0,0,0,0,0,0,0,0,51
40,2037,0,0,0,0,0,0,0,0,0,0,0,51
41,2038,0,0,0,0,0,0,0,0,0,0,0,51
42,2039,0,0,0,0,0,0,0,0,0,0,0,51
43,2040,0,0,0,0,0,0,0,0,0,0,0,51
44,2041,0,0,0,0,0,0,0,0,0,0,0,51
45,2042,0,0,0,0,0,0,0,0,0,0,0,51
46,2043,0,0,0,0,0,0,0,0,0,0,0,52
47,2044,0,0,0,0,0,0,0,0,0,0,0,52
48,2045,0,0,0,0,0,0,0,0,0,0,0,52
49,2046,0,0,0,0,0,0,0,0,0,0,0,52
50,2047,0,0,0,0,0,0,0,0,0,0,0,52
51,2048,0,0,0,0,0,0,0,0,0,0,0,62
52,2049,0,0,0,0,0,0,0,0,0,0,0,62
53,2050,0,0,0,0,0,0,0,0,0,0,0,62
