,year,tech_name,tech_cost,integ_factor,integ_factor_ini,TRL,Rexp,Mexp,Oexp,tech_cost_min,accident_ratio,accident_ratio_base,accident_ratio_ini
0,2022,Berth,34000,1.2,1.2,4,4500000,0,0,34000,96.0,96.0,96
1,2022,Navi,34000,1.2,1.2,5,4500000,0,0,34000,78.0,78.0,78
2,2022,Moni,136000,1.2,1.2,7,4500000,0,0,136000,32.0,32.0,32
0,2023,Berth,34000,1.2,1.2,4,9000000,0,0,34000,96.0,96.0,96
1,2023,Navi,34000,1.2,1.2,5,9000000,0,0,34000,78.0,78.0,78
2,2023,Moni,136000,1.119802484158002,1.2,7,9000000,40,40,136000,24.220950887920456,32.0,32
0,2024,Berth,34000,1.2,1.2,4,13500000,0,0,34000,96.0,96.0,96
1,2024,Navi,34000,1.2,1.2,5,13500000,0,0,34000,78.0,78.0,78
2,2024,Moni,136000,1.1073204002068233,1.2,7,13500000,90,130,136000,22.200084686088747,32.0,32
0,2025,Berth,34000,1.2,1.2,4,18000000,0,0,34000,96.0,96.0,96
1,2025,Navi,34000,1.2,1.2,5,18000000,0,0,34000,78.0,78.0,78
2,2025,Moni,136000,1.101027070095319,1.2,7,18000000,140,270,136000,21.02215730469517,32.0,32
0,2026,Berth,34000,1.2,1.2,5,2500000,0,0,34000,96.0,96.0,96
1,2026,Navi,34000,1.2,1.2,6,2500000,0,0,34000,78.0,78.0,78
2,2026,Moni,136000,1.0968829582016333,1.2,8,2500000,190,460,136000,19.916902354305535,31.55,32
0,2027,Berth,34000,1.2,1.2,5,7000000,0,0,34000,96.0,96.0,96
1,2027,Navi,34000,1.1275744408847836,1.2,6,7000000,25,25,34000,61.09020768657851,78.0,78
2,2027,Moni,136000,1.0938235030064118,1.2,8,7000000,240,700,136000,19.300586758810756,31.55,32
0,2028,Berth,34000,1.2,1.2,5,11500000,0,0,34000,96.0,96.0,96
1,2028,Navi,34000,1.1162479522469222,1.2,6,11500000,50,75,34000,56.36812426729562,78.0,78
2,2028,Moni,136000,1.0914140106114758,1.2,8,11500000,290,990,136000,18.80588774840401,31.55,32
0,2029,Berth,34000,1.2,1.2,5,16000000,0,0,34000,96.0,96.0,96
1,2029,Navi,34000,1.1100215400862752,1.2,6,16000000,75,150,34000,53.53913270379844,78.0,78
2,2029,Moni,136000,1.0894354901264018,1.2,8,16000000,340,1330,136000,18.39441622647876,31.55,32
0,2030,Berth,34000,1.2,1.2,5,20500000,0,0,34000,96.0,96.0,96
1,2030,Navi,34000,1.1057873275906052,1.2,6,20500000,100,250,34000,51.536992781846294,78.0,78
2,2030,Moni,136000,1.0877626247041672,1.2,8,20500000,390,1720,136000,18.04329286453815,31.55,32
0,2031,Berth,34000,1.2,1.2,6,5000000,0,0,34000,96.0,96.0,96
1,2031,Navi,34000,1.102607441914782,1.2,7,5000000,125,375,34000,49.85410584606502,77.775,78
2,2031,Moni,136000,1.086317225097133,1.2,9,5000000,440,2160,136000,17.48482466010726,31.1,32
0,2032,Berth,34000,1.2,1.2,6,9500000,0,0,34000,96.0,96.0,96
1,2032,Navi,34000,1.0979826649964517,1.2,7,9500000,175,550,34000,48.44552312454294,77.775,78
2,2032,Moni,136000,1.0850473429154044,1.2,9,9500000,490,2650,136000,17.218870486219615,31.1,32
0,2033,Berth,34000,1.2,1.2,6,14000000,0,0,34000,96.0,96.0,96
1,2033,Navi,34000,1.0946592438750662,1.2,7,14000000,225,775,34000,47.21721750714064,77.775,78
2,2033,Moni,136000,1.0839167726649517,1.2,9,14000000,540,3190,136000,16.98110231508114,31.1,32
0,2034,Berth,34000,1.2,1.2,6,18500000,0,0,34000,96.0,96.0,96
