,year,tech_name,tech_cost,integ_factor,integ_factor_ini,TRL,Rexp,Mexp,Oexp,tech_cost_min,accident_ratio,accident_ratio_base,accident_ratio_ini
1,2034,Navi,34000,1.092038130274898,1.2,7,18500000,276,1051,34000,46.151820761292754,77.775,78
2,2034,Moni,136000,1.082879972850412,1.2,9,18500000,591,3781,136000,16.76606998609341,31.1,32
0,2035,Berth,34000,1.2,1.2,7,3000000,0,0,34000,95.775,95.775,96
1,2035,Navi,34000,1.0899165023999369,1.2,8,3000000,327,1378,34000,45.09355577324535,77.55,78
2,2035,Moni,136000,1.0819401739165662,1.2,9,23000000,642,4423,136000,16.570066644782628,31.1,32
0,2036,Berth,34000,1.1159368600942468,1.2,7,7500000,51,51,34000,71.21179121743872,95.775,96
1,2036,Navi,34000,1.0881409616860511,1.2,8,7500000,378,1756,34000,44.28166275266068,77.55,78
2,2036,Moni,136000,1.081081614676789,1.2,9,27500000,693,5116,136000,16.39019923426595,31.1,32
0,2037,Berth,34000,1.1055014573085968,1.2,7,12000000,102,153,34000,65.64295250002469,95.775,96
1,2037,Navi,34000,1.0866186376481197,1.2,8,12000000,429,2185,34000,43.562023034471075,77.55,78
2,2037,Moni,136000,1.0802920284894515,1.2,9,32000000,744,5860,136000,16.224170807831186,31.1,32
0,2038,Berth,34000,1.0998049625883133,1.2,7,16500000,153,306,34000,62.33282103841642,95.775,96
1,2038,Navi,34000,1.0852891870999732,1.2,8,16500000,480,2665,34000,42.91827826889008,77.55,78
2,2038,Moni,136000,1.0795616886722172,1.2,9,36500000,795,6655,136000,16.070130018849373,31.1,32
0,2039,Berth,34000,1.0959418222395938,1.2,8,1000000,204,510,34000,59.85481928112902,95.55,96
1,2039,Navi,34000,1.0841112699902244,1.2,9,1000000,531,3196,34000,42.09191457484537,77.1,78
2,2039,Moni,136000,1.0788827577239004,1.2,9,41000000,846,7501,136000,15.926564675128308,31.1,32
0,2040,Berth,34000,1.0930449657703014,1.2,8,5500000,255,765,34000,58.06488011088051,95.55,96
1,2040,Navi,34000,1.0830553734068693,1.2,9,5500000,582,3778,34000,41.56723255081318,77.1,78
2,2040,Moni,136000,1.0782488315564107,1.2,9,45500000,897,8398,136000,15.792224907074974,31.1,32
0,2041,Berth,34000,1.0907412797284182,1.2,8,10000000,306,1071,34000,56.61950686347571,95.55,96
1,2041,Navi,34000,1.0820997203988538,1.2,9,10000000,633,4411,34000,41.08721600627454,77.1,78
2,2041,Moni,136000,1.0776546127601665,1.2,9,50000000,948,9346,136000,15.666066684060208,31.1,32
0,2042,Berth,34000,1.0888370519289194,1.2,8,14500000,357,1428,34000,55.411929657054586,95.55,96
1,2042,Navi,34000,1.0812278011178214,1.2,9,14500000,684,5095,34000,40.645472036572,77.1,78
2,2042,Moni,136000,1.0770956715331543,1.2,9,54500000,999,10345,136000,15.547209597132364,31.1,32
0,2043,Berth,34000,1.0872192161224516,1.2,8,19000000,408,1836,34000,54.37790913413601,95.55,96
1,2043,Navi,34000,1.0804268125617351,1.2,9,19000000,735,5830,34000,40.23681997600981,77.1,78
2,2043,Moni,136000,1.0765682675653077,1.2,9,59000000,1050,11395,136000,15.434904829005358,31.1,32
0,2044,Berth,34000,1.085790513628809,1.2,9,3500000,460,2296,34000,53.222275938105874,95.1,96
1,2044,Navi,34000,1.0796726711213775,1.2,9,23500000,787,6617,34000,39.85656537784422,77.1,78
2,2044,Moni,136000,1.0760596941930896,1.2,9,63500000,1102,12497,136000,15.328418531695773,31.1,32
0,2045,Berth,34000,1.0845344632150669,1.2,9,8000000,512,2808,34000,52.42508418049128,95.1,96
1,2045,Navi,34000,1.0789731487518484,1.2,9,28000000,839,7456,34000,39.50136173053044,77.1,78
2,2045,Moni,136000,1.0755777018480912,1.2,9,68000000,1154,13651,136000,15.227221601279394,31.1,32
0,2046,Berth,34000,1.083415606124136,1.2,9,12500000,564,3372,34000,51.71056599560532,95.1,96
1,2046,Navi,34000,1.078321256421847,1.2,9,32500000,891,8347,34000,39.16838770889874,77.1,78
2,2046,Moni,136000,1.0751197947075797,1.2,9,72500000,1206,14857,136000,15.13085127415813,31.1,32
0,2047,Berth,34000,1.0824082407691435,1.2,9,17000000,616,3988,34000,51.06410379813742,95.1,96
1,2047,Navi,34000,1.077711243867206,1.2,9,37000000,943,9290,34000,38.855248741180205,77.1,78
2,2047,Moni,136000,1.0746838064750988,1.2,9,77000000,1258,16115,136000,15.038900799509452,31.1,32
0,2048,Berth,34000,1.0814931661858125,1.2,9,21500000,668,4656,34000,50.474560850672304,95.1,96
1,2048,Navi,34000,1.0771383254801248,1.2,9,41500000,995,10285,34000,38.55989912145831,77.1,78
2,2048,Moni,136000,1.0742678453179955,1.2,9,81500000,1310,17385,136000,14.953588087791921,31.1,32
0,2049,Berth,34000,1.0805025055755755,1.2,9,26000000,730,5386,34000,49.926312847478926,95.1,96
1,2049,Navi,34000,1.076498157229135,1.2,9,46000000,1057,11342,34000,38.278048039359355,77.1,78
2,2049,Moni,136000,1.0737957687942867,1.2,9,86000000,1372,18667,136000,14.874009502612713,31.1,32
0,2050,Berth,34000,1.079603157723954,1.2,9,30500000,792,6178,34000,49.415324575766135,95.1,96
1,2050,Navi,34000,1.0758993241191677,1.2,9,50500000,1119,12461,34000,38.00889964867512,77.1,78
2,2050,Moni,136000,1.073347350958917,1.2,9,90500000,1434,19961,136000,14.799433282170698,31.1,32
